_id,user_name,email_id,signin_dt,first_name,last_name,date_of_birth,mobile,address,country,profession,field_of_interest,reason_of_enrollment,is_verified,verification_type,verification_id,courses,insertionDate
9d7112HKianleu29farZQ8399,tiyasani,myra.kibe@example.in,2021-11-23 06:53:58,Myra,Kibe,1982-10-04,+91-0903271786,"12/556,Lall,Path,Guna,458570",India,influencer,design and artistic,self-improvement,yes,adhar,19093675866,"{'1': {'course_id': 684890, 'enrolled_dt': '2022-09-09 10:24:47', 'is_paid': 'Yes', 'price_paid': '561 INR', 'discount_applied': True, 'coupon_code': 'DANCEWITHED', 'payment_method': 'credit card', 'payment_id': '1962eyfs53527537035225838396974200', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '2': {'course_id': 860398, 'enrolled_dt': '2023-03-05 12:55:51', 'is_paid': 'Yes', 'price_paid': '948 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'UPI', 'payment_id': '3102nnsx73976756733732741965748313', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-09-26 18:27:18'}, '3': {'course_id': 4149500, 'enrolled_dt': '2023-01-13 14:40:12', 'is_paid': 'No', 'price_paid': '1972 INR', 'discount_applied': True, 'coupon_code': 'SALEED', 'payment_method': 'debit card', 'payment_id': '1099czrc33788706356459719661109755', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-08-07 05:56:57'}, '4': {'course_id': 1167842, 'enrolled_dt': '2021-09-24 23:48:55', 'is_paid': 'Yes', 'price_paid': '1424 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'net banking', 'payment_id': '1378qxtm17590320567896755121704644', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '5': {'course_id': 3047192, 'enrolled_dt': '2022-12-08 22:07:39', 'is_paid': 'Yes', 'price_paid': '1833 INR', 'discount_applied': True, 'coupon_code': 'PRACTICEWITHWED', 'payment_method': 'credit card', 'payment_id': '4145ovab76334654793079062634022118', 'progress_status': 'in-progress', 'progress_report': '57 %', 'certification_dt': None}}",2024-01-31
9d7913ZEmbspzp55ueqNO3261,kartikhayre,ojas.sen@bluevice.com,2021-10-19 06:14:00,Ojas,Sen,1991-11-23,+91-+911584166103,"02/25, Hayer,Ganj,Noida,017480",India,influencer,data science and data analytics,MOOC,no,,,"{'1': {'course_id': 4364668, 'enrolled_dt': '2022-07-15 12:11:33', 'is_paid': 'Yes', 'price_paid': '649 INR', 'discount_applied': True, 'coupon_code': 'DANCEWITHED', 'payment_method': 'net banking', 'payment_id': '402kyoa51095151799097807109762272', 'progress_status': 'in-progress', 'progress_report': '49 %', 'certification_dt': None}}",2024-01-31
7a1611WSagttva5jljEF8606,raghav37,amira.roy@example.com,2022-04-13 19:13:30,Amira,Roy,2004-09-07,+91-02971470815,"074, Upadhyay Chowk, Vasai,Virar,225777",India,businessman,IT,free-lancing,yes,adhar,21290348277,"{'1': {'course_id': 2459922, 'enrolled_dt': '2022-11-28 17:47:19', 'is_paid': 'No', 'price_paid': '1810 INR', 'discount_applied': True, 'coupon_code': 'DOWITHED', 'payment_method': 'debit card', 'payment_id': '1973srya37334406515282915997094056', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '2': {'course_id': 1179794, 'enrolled_dt': '2021-12-16 15:47:22', 'is_paid': 'Yes', 'price_paid': '47 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'UPI', 'payment_id': '680kgxc95758734499534938757585272', 'progress_status': 'in-progress', 'progress_report': '43 %', 'certification_dt': None}, '3': {'course_id': 1085644, 'enrolled_dt': '2020-08-24 09:11:35', 'is_paid': 'Yes', 'price_paid': '1158 INR', 'discount_applied': True, 'coupon_code': 'RISEWITHED', 'payment_method': 'debit card', 'payment_id': '1622tzrs53259903348155888770003767', 'progress_status': 'in-progress', 'progress_report': '24 %', 'certification_dt': None}, '4': {'course_id': 2211198, 'enrolled_dt': '2022-12-19 22:14:20', 'is_paid': 'Yes', 'price_paid': '926 INR', 'discount_applied': True, 'coupon_code': 'BREATHWITHED', 'payment_method': 'credit card', 'payment_id': '717wywr44906298061185107501996360', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '5': {'course_id': 1744000, 'enrolled_dt': '2020-09-12 23:58:00', 'is_paid': 'Yes', 'price_paid': '426 INR', 'discount_applied': True, 'coupon_code': 'LONGRUNEDDEVWITHED', 'payment_method': 'UPI', 'payment_id': '1935wlue61335033338147166268282596', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '6': {'course_id': 260470, 'enrolled_dt': '2022-01-18 17:23:44', 'is_paid': 'Yes', 'price_paid': '768 INR', 'discount_applied': True, 'coupon_code': 'LIVEWITHED', 'payment_method': 'promo', 'payment_id': '4562fmms30649893396156612006400568', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2022-07-27 11:22:24'}, '7': {'course_id': 2743714, 'enrolled_dt': '2022-06-05 08:01:20', 'is_paid': 'No', 'price_paid': '317 INR', 'discount_applied': True, 'coupon_code': 'DOWITHED', 'payment_method': 'promo', 'payment_id': '5033nfjo42237699175553249239897891', 'progress_status': 'in-progress', 'progress_report': '16 %', 'certification_dt': None}}",2024-01-31
0z7083UBxcajzr93scaSR7662,mchad,samar.rajagopalan670@yellowstone.in,2022-03-12 23:18:19,Samar,Rajagopalan,1993-04-04,+91-+910778320001,"37,Chander,Road,Rewa,589900",India,freelancer,science,self-improvement,no,,,"{'1': {'course_id': 1512186, 'enrolled_dt': '2022-12-24 01:55:55', 'is_paid': 'Yes', 'price_paid': '1740 INR', 'discount_applied': True, 'coupon_code': 'PRACTICEWITHWED', 'payment_method': 'net banking', 'payment_id': '9051qtny21741118565104954546277203', 'progress_status': 'in-progress', 'progress_report': '33 %', 'certification_dt': None}, '2': {'course_id': 1693914, 'enrolled_dt': '2022-06-08 09:48:56', 'is_paid': 'No', 'price_paid': '1261 INR', 'discount_applied': True, 'coupon_code': 'DOWITHED', 'payment_method': 'net banking', 'payment_id': '6341bpne64106540769136279385914637', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2022-12-23 04:24:17'}}",2024-01-31
0x2185KMnizdby64geqXE2086,hunar80,urvi.d’alia@example.com,2021-05-04 16:25:15,Urvi,D’Alia,1996-10-30,+91-03687091317,"10,Rajagopalan,Nagar,Guntur,602561",India,businessman,science,career change,yes,adhar,94668631752,"{'1': {'course_id': 1791298, 'enrolled_dt': '2022-04-18 20:34:10', 'is_paid': 'No', 'price_paid': '1237 INR', 'discount_applied': True, 'coupon_code': 'LEARNWITHED', 'payment_method': 'UPI', 'payment_id': '7873fzll37433629834667317504288753', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '2': {'course_id': 921376, 'enrolled_dt': '2020-05-03 19:04:59', 'is_paid': 'No', 'price_paid': '1159 INR', 'discount_applied': True, 'coupon_code': 'DANCEWITHED', 'payment_method': 'net banking', 'payment_id': '7966gnnl23129725206627711552879213', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '3': {'course_id': 235468, 'enrolled_dt': '2023-03-05 05:45:08', 'is_paid': 'No', 'price_paid': '123 INR', 'discount_applied': True, 'coupon_code': 'ARTISTED', 'payment_method': 'promo', 'payment_id': '7638fopl32723552155752190576048693', 'progress_status': 'in-progress', 'progress_report': '35 %', 'certification_dt': None}, '4': {'course_id': 2235384, 'enrolled_dt': '2021-10-10 11:09:21', 'is_paid': 'Yes', 'price_paid': '715 INR', 'discount_applied': True, 'coupon_code': 'BREATHWITHED', 'payment_method': 'UPI', 'payment_id': '8948vsxv05675062882360350268519883', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '5': {'course_id': 358508, 'enrolled_dt': '2022-11-20 05:53:04', 'is_paid': 'Yes', 'price_paid': '396 INR', 'discount_applied': True, 'coupon_code': 'LEARNWITHED', 'payment_method': 'debit card', 'payment_id': '5785azpk99339490879432458737320478', 'progress_status': 'in-progress', 'progress_report': '39 %', 'certification_dt': None}}",2024-01-31
0x4732TBrfesdu39cnoQX1682,vohrakhushi,aarush.subramaniam840@seesight.com,2022-04-30 02:15:48,Aarush,Subramaniam,1999-04-30,+91-05776131267,"28, Rau Street,Sultan Pur Majra,297059",India,artist,design and artistic,self-improvement,yes,adhar,25526243775,"{'1': {'course_id': 1005522, 'enrolled_dt': '2022-03-29 04:15:55', 'is_paid': 'Yes', 'price_paid': '325 INR', 'discount_applied': True, 'coupon_code': 'ARTISTED', 'payment_method': 'net banking', 'payment_id': '2566bhgc19974258792925772829156163', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}}",2024-01-31
7x7395BCglqioc66igmRD7219,vardaniyabhalla,vedika.bora@bluevice.com,2022-07-06 11:10:58,Vedika,Bora,1984-12-20,+91-05786161772,"33/12, Chander Chowk, Guntakal,309351",India,businessman,IT,free-lancing,yes,adhar,50329295835,"{'1': {'course_id': 535018, 'enrolled_dt': '2020-08-11 15:32:35', 'is_paid': 'No', 'price_paid': '1741 INR', 'discount_applied': True, 'coupon_code': 'DISCOUNTED', 'payment_method': 'debit card', 'payment_id': '7200pfcx98042951143614623355056278', 'progress_status': 'in-progress', 'progress_report': '73 %', 'certification_dt': None}, '2': {'course_id': 2989658, 'enrolled_dt': '2021-07-22 01:12:20', 'is_paid': 'No', 'price_paid': '109 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'UPI', 'payment_id': '8029hzoa52813295614401036426172259', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '3': {'course_id': 2606402, 'enrolled_dt': '2023-05-18 02:37:38', 'is_paid': 'No', 'price_paid': '1660 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'net banking', 'payment_id': '8478uzqh67673927134919007098125029', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-09-10 03:57:41'}, '4': {'course_id': 373418, 'enrolled_dt': '2022-04-04 04:58:18', 'is_paid': 'No', 'price_paid': '339 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'promo', 'payment_id': '9865thcn17429440750420041123896859', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '5': {'course_id': 443796, 'enrolled_dt': '2022-11-27 11:32:22', 'is_paid': 'Yes', 'price_paid': '313 INR', 'discount_applied': True, 'coupon_code': 'PRACTICEWITHWED', 'payment_method': 'debit card', 'payment_id': '220lfic27354851458965459185189751', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-02-11 02:07:36'}, '6': {'course_id': 1758698, 'enrolled_dt': '2022-01-30 23:00:33', 'is_paid': 'Yes', 'price_paid': '336 INR', 'discount_applied': True, 'coupon_code': 'LIVEWITHED', 'payment_method': 'net banking', 'payment_id': '3601ifgw48986717515569653928572398', 'progress_status': 'in-progress', 'progress_report': '59 %', 'certification_dt': None}, '7': {'course_id': 830588, 'enrolled_dt': '2020-05-03 00:22:47', 'is_paid': 'No', 'price_paid': '1180 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'debit card', 'payment_id': '3182cznf93310442831115316870408750', 'progress_status': 'in-progress', 'progress_report': '11 %', 'certification_dt': None}}",2024-01-31
3b4215HXuxhhkp49qluWF6161,banerjeeehsaan,arnav.sankar@example.com,2022-07-05 03:31:18,Arnav,Sankar,2001-03-03,+91-+913466716503,"86/70,Wable Circle,Haridwar,057741",India,student,science,new hobby,no,,,"{'1': {'course_id': 1700026, 'enrolled_dt': '2021-09-15 12:04:06', 'is_paid': 'No', 'price_paid': '233 INR', 'discount_applied': True, 'coupon_code': 'DANCEWITHED', 'payment_method': 'net banking', 'payment_id': '6049bnku34215864273213297055795341', 'progress_status': 'in-progress', 'progress_report': '59 %', 'certification_dt': None}, '2': {'course_id': 4161316, 'enrolled_dt': '2021-05-10 21:24:15', 'is_paid': 'Yes', 'price_paid': '1135 INR', 'discount_applied': True, 'coupon_code': 'BREATHWITHED', 'payment_method': 'promo', 'payment_id': '5032dfai43708544563336559184546889', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '3': {'course_id': 2439874, 'enrolled_dt': '2020-12-03 01:59:01', 'is_paid': 'No', 'price_paid': '348 INR', 'discount_applied': True, 'coupon_code': 'DANCEWITHED', 'payment_method': 'credit card', 'payment_id': '1456zbfy18394199998287437564770279', 'progress_status': 'in-progress', 'progress_report': '9 %', 'certification_dt': None}, '4': {'course_id': 2252912, 'enrolled_dt': '2022-12-22 17:12:12', 'is_paid': 'Yes', 'price_paid': '83 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'promo', 'payment_id': '3864izwr02346844115636616018217886', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-02-09 14:37:30'}, '5': {'course_id': 764832, 'enrolled_dt': '2022-09-06 03:52:44', 'is_paid': 'No', 'price_paid': '1758 INR', 'discount_applied': True, 'coupon_code': 'LEARNWITHED', 'payment_method': 'net banking', 'payment_id': '6674xbrc14139516139759531693827052', 'progress_status': 'in-progress', 'progress_report': '15 %', 'certification_dt': None}, '6': {'course_id': 1217894, 'enrolled_dt': '2023-04-09 01:26:54', 'is_paid': 'Yes', 'price_paid': '705 INR', 'discount_applied': True, 'coupon_code': 'PROMOED', 'payment_method': 'net banking', 'payment_id': '1375qeej67232873567871765434268868', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-10-27 15:57:35'}}",2024-01-31
7d3656KAnruzdx25jfgXW2988,lben,vaibhav.ghosh@yellowstone.in,2022-08-26 09:55:40,Vaibhav,Ghosh,1983-12-07,+91-6887442467,"38,Lalla Path,Amravati,383007",India,influencer,design and artistic,MOOC,yes,adhar,35740574442,"{'1': {'course_id': 3793188, 'enrolled_dt': '2021-06-28 03:56:17', 'is_paid': 'No', 'price_paid': '105 INR', 'discount_applied': True, 'coupon_code': 'LIVEWITHED', 'payment_method': 'credit card', 'payment_id': '2550pdej68697172547738914340479650', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}}",2024-01-31
3b51EMnlkqws35cmmQM8096,karpriyansh,ivana.madan66@example.in,2022-11-18 20:52:09,Ivana,Madan,1989-09-30,+91-+914469794736,"43/38, Gopal,Ballia,994661",India,influencer,design and artistic,self-improvement,no,,,"{'1': {'course_id': 3651998, 'enrolled_dt': '2021-07-26 08:33:56', 'is_paid': 'No', 'price_paid': '701 INR', 'discount_applied': True, 'coupon_code': 'SALEED', 'payment_method': 'net banking', 'payment_id': '1138nluc62576683235011263548447655', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}, '2': {'course_id': 1614076, 'enrolled_dt': '2023-01-25 07:15:32', 'is_paid': 'No', 'price_paid': '662 INR', 'discount_applied': True, 'coupon_code': 'GROWWITHED', 'payment_method': 'net banking', 'payment_id': '725zenk71402364994417500649245259', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-04-24 14:29:32'}, '3': {'course_id': 460512, 'enrolled_dt': '2022-03-07 00:08:56', 'is_paid': 'Yes', 'price_paid': '59 INR', 'discount_applied': True, 'coupon_code': 'CALLWITHED', 'payment_method': 'debit card', 'payment_id': '6163wnol34321820644275215155849304', 'progress_status': 'in-progress', 'progress_report': '55 %', 'certification_dt': None}, '4': {'course_id': 1358924, 'enrolled_dt': '2022-10-20 21:05:22', 'is_paid': 'Yes', 'price_paid': '1920 INR', 'discount_applied': True, 'coupon_code': 'PRACTICEWITHWED', 'payment_method': 'UPI', 'payment_id': '4122gzqp05518973582534952292355190', 'progress_status': 'in-progress', 'progress_report': '58 %', 'certification_dt': None}, '5': {'course_id': 4099738, 'enrolled_dt': '2022-10-23 22:24:42', 'is_paid': 'No', 'price_paid': '216 INR', 'discount_applied': True, 'coupon_code': 'BREATHWITHED', 'payment_method': 'UPI', 'payment_id': '458rcrd41992719146400496929527269', 'progress_status': 'completed', 'progress_report': '100 %', 'certification_dt': '2023-01-03 16:20:49'}, '6': {'course_id': 836600, 'enrolled_dt': '2022-02-27 13:26:06', 'is_paid': 'No', 'price_paid': '773 INR', 'discount_applied': True, 'coupon_code': 'CALLWITHED', 'payment_method': 'net banking', 'payment_id': '4163qxpi58982651574512510086361592', 'progress_status': 'enrolled', 'progress_report': '1 %', 'certification_dt': None}}",2024-01-31
